cust_email,first_name,last_name,passwd,street,city,state_province,country,zip_code,phone_number,passport_num,passport_expiration,passport_country,dob,room_id,check_in_date,check_out_date,purchase_date,rate_per_night,card_number,card_holder,card_type,card_expiration,cvv_code,hotel_id,date,rating,comments,number,type,max_occupancy,floor,footprint,notes,price,name,stars,hotel_street,hotel_city,hotel_state,hotel_country,hotel_zip_code
emily.brown@example.com,emily,brown,passwd2,7476 Silcon Alley,San Francisco,CA,USA,11154,940-438-3700,BV2984197,4/29/2026,Indonesia,9/24/1950,T3121,12/13/2019 16:00:25,12/23/2019 14:00:00,08/25/2018 15:20:35,350,5293541090325769,Emily Brown,Debit,10/1/2024,234,HT007,3/25/2020 14:52:35,5,Fantastic,226,Standard,5,62,280 sq ft,Balcony with pool view,200,Paradise Resort,5,679 Palm St.,Honolulu,HI,USA,96801
emily.brown@example.com,emily,brown,passwd2,7476 Silcon Alley,San Francisco,CA,USA,11154,940-438-3700,BV2984197,4/29/2026,Indonesia,9/24/1950,J250,3/13/2019 15:06:00,3/18/2019 8:25:00,2/15/2019 3:25:00,200,5293541090325769,Emily Brown,Debit,10/1/2024,234,HT001,5/15/2019 3:25:30,4,"I really enjoyed my stay at this hotel. The room was clean and comfortable, and the staff were friendly and helpful.",109,Standard,2,53,200 sq ft,None,100,Grand Hotel,5,123 Main St.,New York City,NY,USA,10001
emily.brown@example.com,emily,brown,passwd2,7476 Silcon Alley,San Francisco,CA,USA,11154,940-438-3700,BV2984197,4/29/2026,Indonesia,9/24/1950,J387,3/13/2020 15:06:00,3/18/2020 8:25:00,2/15/2020 3:25:00,320,5293541090325769,Emily Brown,Debit,10/1/2024,234,HT001,5/15/2020 3:25:30,4,"I had a great time at this hotel. The room was spacious and comfortable, and the location was perfect.",908,Standard,2,53,200 sq ft,None,100,Grand Hotel,5,123 Main St.,New York City,NY,USA,10001
emily.brown@example.com,emily,brown,passwd2,7476 Silcon Alley,San Francisco,CA,USA,11154,940-438-3700,BV2984197,4/29/2026,Indonesia,9/24/1950,N295,3/13/2021 15:06:00,3/18/2021 8:25:00,2/15/2021 3:25:00,500,5293541090325769,Emily Brown,Debit,10/1/2024,234,HT004,5/15/2021 3:25:30,5,This was one of the best hotels I've ever stayed at. The room was beautiful and the staff were incredibly friendly and helpful.,888,Deluxe,2,36,200 sq ft,None,80,City Suites,3,246 Downtown Ave.,Chicago,IL,USA,60601
will.harris@example.com,will,harris,passwd3,441 Lawn Plaza,Stanford,CA,USA,12235,384-846-0025,KY6426652,2/23/2026,Zambia,4/10/1988,S378,3/13/2019 15:06:00,3/18/2019 8:25:00,2/15/2019 3:25:00,150,4171816016480653,Will Harris,Credit,1/1/2026,345,HT003,5/15/2019 3:25:30,4,"Nice hotel, clean and comfortable rooms.",928,Standard,2,27,220 sq ft,None,80,Mountain Lodge,4,789 Alpine Rd.,Aspen,CO,USA,81611
will.harris@example.com,will,harris,passwd3,441 Lawn Plaza,Stanford,CA,USA,12235,384-846-0025,KY6426652,2/23/2026,Zambia,4/10/1988,7735,3/13/2020 15:06:00,3/18/2020 8:25:00,2/15/2020 3:25:00,300,4171816016480653,Will Harris,Credit,1/1/2026,345,HT005,3/25/2020 14:52:35,4,"Good hotel, friendly staff.",736,Deluxe,4,1,295 sq ft,None,80,Beachside Inn,3,135 Sandy Ln.,Santa Barbara,CA,USA,93101
will.harris@example.com,will,harris,passwd3,441 Lawn Plaza,Stanford,CA,USA,12235,384-846-0025,KY6426652,2/23/2026,Zambia,4/10/1988,Q639,3/13/2021 15:06:00,3/18/2021 8:25:00,2/15/2021 3:25:00,400,4171816016480653,Will Harris,Credit,1/1/2026,345,HT010,5/15/2021 3:25:30,3,"Okay hotel, not worth the price.",619,Suite,6,54,120 sq ft,Balcony with river view,150,Lakeside Lodge,4,321 Lakeview Rd.,Denver,CO,USA,80201
will.harris@example.com,will,harris,passwd3,441 Lawn Plaza,Stanford,CA,USA,12235,384-846-0025,KY6426652,2/23/2026,Zambia,4/10/1988,6482,5/15/2019 15:06:00,5/18/2019 8:25:00,2/15/2019 3:25:00,700,4171816016480653,Will Harris,Credit,1/1/2026,345,HT010,7/15/2019 15:23:23,5,"Excellent hotel, would definitely stay again.",141,Standard,3,68,180 sq ft,Balcony with river view,150,Lakeside Lodge,4,321 Lakeview Rd.,Denver,CO,USA,80201
will.harris@example.com,will,harris,passwd3,441 Lawn Plaza,Stanford,CA,USA,12235,384-846-0025,KY6426652,2/23/2026,Zambia,4/10/1988,F828,6/16/2020 15:06:00,6/18/2020 8:25:00,2/15/2020 3:25:00,800,4171816016480653,Will Harris,Credit,1/1/2026,345,HT003,7/15/2020 12:23:23,4,"I really enjoyed my stay at this hotel. The room was clean and comfortable, and the staff were friendly and helpful.",802,Deluxe,2,31,260 sq ft,"Kitchenette, living room, river view",250,Mountain Lodge,4,789 Alpine Rd.,Aspen,CO,USA,81611
will.harris@example.com,will,harris,passwd3,441 Lawn Plaza,Stanford,CA,USA,12235,384-846-0025,KY6426652,2/23/2026,Zambia,4/10/1988,W976,8/13/2021 15:06:00,8/18/2021 8:25:00,2/15/2021 3:25:00,250,4171816016480653,Will Harris,Credit,1/1/2026,345,HT005,8/19/2021 15:29:23,3,"This hotel was just okay. The room was clean and comfortable enough, but the amenities were lacking.",537,Suite,5,97,200 sq ft,"Kitchenette, living room, river view",250,Beachside Inn,3,135 Sandy Ln.,Santa Barbara,CA,USA,93101
will.harris@example.com,will,harris,passwd3,441 Lawn Plaza,Stanford,CA,USA,12235,384-846-0025,KY6426652,2/23/2026,Zambia,4/10/1988,1368,12/13/2019 15:06:00,12/18/2019 8:25:00,2/15/2019 3:25:00,236,4171816016480653,Will Harris,Credit,1/1/2026,345,HT011,7/15/2020 12:25:56,5,This hotel was fantastic! The room was beautiful and the staff were incredibly friendly and accommodating.,204,Standard,6,22,290 sq ft,None,120,Mountain View Inn,3,672 Alpine Way,Jackson Hole,WY,USA,83001
will.harris@example.com,will,harris,passwd3,441 Lawn Plaza,Stanford,CA,USA,12235,384-846-0025,KY6426652,2/23/2026,Zambia,4/10/1988,Y854,4/13/2020 15:06:00,4/18/2020 8:25:00,2/15/2020 3:25:00,290,4171816016480653,Will Harris,Credit,1/1/2026,345,HT001,4/23/2020 19:20:25,2,"This hotel was a disappointment. The room was small and dingy, and the staff were unhelpful and unprofessional.",912,Deluxe,1,79,240 sq ft,None,120,Grand Hotel,5,123 Main St.,New York City,NY,USA,10001
will.harris@example.com,will,harris,passwd3,441 Lawn Plaza,Stanford,CA,USA,12235,384-846-0025,KY6426652,2/23/2026,Zambia,4/10/1988,D238,7/13/2021 15:06:00,7/18/2021 8:25:00,2/15/2021 3:25:00,90,4171816016480653,Will Harris,Credit,1/1/2026,345,HT003,08/29/2022 15:32:35,4,"I had a great time at this hotel. The room was spacious and comfortable, and the location was perfect.",415,Standard,3,51,185 sq ft,Balcony with park view,220,Mountain Lodge,4,789 Alpine Rd.,Aspen,CO,USA,81611
will.harris@example.com,will,harris,passwd3,441 Lawn Plaza,Stanford,CA,USA,12235,384-846-0025,KY6426652,2/23/2026,Zambia,4/10/1988,2598,06/23/2023 14:00:00,06/26/2023 12:00:00,03/25/2023 15:06:25,300,4171816016480653,Will Harris,Credit,1/1/2026,345,HT003,,,,566,Standard,2,14,200 sq ft,None,320,Mountain Lodge,4,789 Alpine Rd.,Aspen,CO,USA,81611
will.harris@example.com,will,harris,passwd3,441 Lawn Plaza,Stanford,CA,USA,12235,384-846-0025,KY6426652,2/23/2026,Zambia,4/10/1988,C845,08/19/2023 14:00:00,08/23/2023 14:00:00,02/23/2023 14:00:00,500,4171816016480653,Will Harris,Credit,1/1/2026,345,HT002,,,,599,Suite,6,95,500 sq ft,"Kitchenette, living room, mountain view",250,Ocean View Resort,4,456 Ocean Blvd.,Miami,FL,USA,33101
laura.lee@example.com,laura,lee,passwd4,17031 Warrior Junction,Shanghai,,China,200085,289-746-1980,BP7496594,3/3/2029,Belarus,1/10/1994,6939,3/13/2019 15:06:00,3/18/2019 8:25:00,2/15/2019 3:25:00,813,4909632441114116,Laura Lee,Credit,11/1/2026,456,HT006,5/15/2019 3:25:30,3,"Average hotel, not bad but not great either.",309,Deluxe,6,42,150 sq ft,Balcony with pool view,200,Riverfront Hotel,4,372 Main St.,Portland,OR,USA,97201
laura.lee@example.com,laura,lee,passwd4,17031 Warrior Junction,Shanghai,,China,200085,289-746-1980,BP7496594,3/3/2029,Belarus,1/10/1994,6940,3/13/2020 15:06:00,3/18/2020 8:25:00,2/15/2020 3:25:00,890,4909632441114116,Laura Lee,Credit,11/1/2026,456,HT003,3/25/2020 14:52:35,5,"Loved this hotel, the staff were amazing!",720,Suite,6,95,500 sq ft,"Kitchenette, living room, mountain view",250,Mountain Lodge,4,789 Alpine Rd.,Aspen,CO,USA,81611
laura.lee@example.com,laura,lee,passwd4,17031 Warrior Junction,Shanghai,,China,200085,289-746-1980,BP7496594,3/3/2029,Belarus,1/10/1994,6941,3/13/2021 15:06:00,3/18/2021 8:25:00,2/15/2021 3:25:00,480,4909632441114116,Laura Lee,Credit,11/1/2026,456,HT005,5/15/2021 3:25:30,2,"Disappointing hotel, not worth the money.",605,Deluxe,1,79,240 sq ft,None,120,Beachside Inn,3,135 Sandy Ln.,Santa Barbara,CA,USA,93101
laura.lee@example.com,laura,lee,passwd4,17031 Warrior Junction,Shanghai,,China,200085,289-746-1980,BP7496594,3/3/2029,Belarus,1/10/1994,6942,5/15/2019 15:06:00,5/18/2019 8:25:00,2/15/2019 3:25:00,840,4909632441114116,Laura Lee,Credit,11/1/2026,456,HT004,7/15/2019 15:23:23,4,"Pleasant stay, would recommend to others.",942,Standard,2,14,200 sq ft,None,120,City Suites,3,246 Downtown Ave.,Chicago,IL,USA,60601
laura.lee@example.com,laura,lee,passwd4,17031 Warrior Junction,Shanghai,,China,200085,289-746-1980,BP7496594,3/3/2029,Belarus,1/10/1994,6943,6/16/2020 15:06:00,6/18/2020 8:25:00,2/15/2020 3:25:00,123,4909632441114116,Laura Lee,Credit,11/1/2026,456,HT010,7/15/2020 12:23:23,3,"Okay hotel, but not great.",532,Standard,6,22,290 sq ft,None,120,Lakeside Lodge,4,321 Lakeview Rd.,Denver,CO,USA,80201
laura.lee@example.com,laura,lee,passwd4,17031 Warrior Junction,Shanghai,,China,200085,289-746-1980,BP7496594,3/3/2029,Belarus,1/10/1994,6944,8/13/2021 15:06:00,8/18/2021 8:25:00,2/15/2021 3:25:00,620,4909632441114116,Laura Lee,Credit,11/1/2026,456,HT013,8/19/2021 15:29:23,5,One of the best hotels I've ever stayed at.,217,Deluxe,4,21,350 sq ft,Balcony with mountain view,150,Riverwalk Hotel,3,548 Main St.,San Antonio,TX,USA,78201
laura.lee@example.com,laura,lee,passwd4,17031 Warrior Junction,Shanghai,,China,200085,289-746-1980,BP7496594,3/3/2029,Belarus,1/10/1994,6945,12/13/2019 15:06:00,12/18/2019 8:25:00,2/15/2019 3:25:00,841,4909632441114116,Laura Lee,Credit,11/1/2026,456,HT016,7/15/2020 12:25:56,4,"Good hotel, no complaints.",127,Suite,3,19,275 sq ft,"Kitchenette, living room, pool view",300,Hillside Lodge,2,468 Mountain Rd.,Park City,UT,USA,84001
laura.lee@example.com,laura,lee,passwd4,17031 Warrior Junction,Shanghai,,China,200085,289-746-1980,BP7496594,3/3/2029,Belarus,1/10/1994,6946,4/13/2020 15:06:00,4/18/2020 8:25:00,2/15/2020 3:25:00,660,4909632441114116,Laura Lee,Credit,11/1/2026,456,HT019,4/23/2020 19:20:25,2,"Mediocre hotel, wouldn't stay again.",845,Suite,2,18,210 sq ft,"Kitchenette, living room, vineyard view",300,Valley View Motel,2,243 Canyon Rd.,Sedona,AZ,USA,86336
laura.lee@example.com,laura,lee,passwd4,17031 Warrior Junction,Shanghai,,China,200085,289-746-1980,BP7496594,3/3/2029,Belarus,1/10/1994,6947,7/13/2021 15:06:00,7/18/2021 8:25:00,2/15/2021 3:25:00,840,4909632441114116,Laura Lee,Credit,11/1/2026,456,HT015,08/29/2022 15:32:35,3,"Average hotel, nothing special.",326,Standard,5,73,280 sq ft,None,80,Green Garden Hotel,3,313 Maple Ave.,Boston,MA,USA,2101
laura.lee@example.com,laura,lee,passwd4,17031 Warrior Junction,Shanghai,,China,200085,289-746-1980,BP7496594,3/3/2029,Belarus,1/10/1994,6948,06/23/2023 14:00:00,06/26/2023 12:00:00,03/25/2023 15:06:25,260,4909632441114116,Laura Lee,Credit,11/1/2026,456,HT001,,,,608,Standard,2,53,200 sq ft,None,100,Grand Hotel,5,123 Main St.,New York City,NY,USA,10001
laura.lee@example.com,laura,lee,passwd4,17031 Warrior Junction,Shanghai,,China,200085,289-746-1980,BP7496594,3/3/2029,Belarus,1/10/1994,6949,08/19/2023 14:00:00,08/23/2023 14:00:00,02/23/2023 14:00:00,500,4909632441114116,Laura Lee,Credit,11/1/2026,456,HT008,,,,738,Deluxe,1,23,190 sq ft,"Kitchenette, living room, pool view",300,Sunset Motel,2,852 Seaside Blvd.,San Diego,CA,USA,92101
tyler.young@example.com,tyler,young,passwd5,2894 Chive Parkway,Hangzhou,Zhejiang,China,200097,795-747-2573,KO2755707,7/27/2027,Poland,10/16/1959,6950,3/13/2019 15:06:00,3/18/2019 8:25:00,2/15/2019 3:25:00,952,5385941661114851,Tyler Young,Debit,2024-06-01,567,HT006,5/15/2019 3:25:30,2,"Terrible hotel, would not recommend.",910,Deluxe,6,42,150 sq ft,Balcony with pool view,200,Riverfront Hotel,4,372 Main St.,Portland,OR,USA,97201
tyler.young@example.com,tyler,young,passwd5,2894 Chive Parkway,Hangzhou,Zhejiang,China,200097,795-747-2573,KO2755707,7/27/2027,Poland,10/16/1959,6951,3/13/2020 15:06:00,3/18/2020 8:25:00,2/15/2020 3:25:00,811,5385941661114851,Tyler Young,Debit,2024-06-01,567,HT003,3/25/2020 14:52:35,4,"Nice hotel, clean and comfortable rooms.",220,Suite,6,95,500 sq ft,"Kitchenette, living room, mountain view",250,Mountain Lodge,4,789 Alpine Rd.,Aspen,CO,USA,81611
tyler.young@example.com,tyler,young,passwd5,2894 Chive Parkway,Hangzhou,Zhejiang,China,200097,795-747-2573,KO2755707,7/27/2027,Poland,10/16/1959,6952,3/13/2021 15:06:00,3/18/2021 8:25:00,2/15/2021 3:25:00,374,5385941661114851,Tyler Young,Debit,2024-06-01,567,HT005,5/15/2021 3:25:30,4,"Good hotel, friendly staff.",531,Deluxe,1,79,240 sq ft,None,120,Beachside Inn,3,135 Sandy Ln.,Santa Barbara,CA,USA,93101
tyler.young@example.com,tyler,young,passwd5,2894 Chive Parkway,Hangzhou,Zhejiang,China,200097,795-747-2573,KO2755707,7/27/2027,Poland,10/16/1959,6953,5/15/2019 15:06:00,5/18/2019 8:25:00,2/15/2019 3:25:00,247,5385941661114851,Tyler Young,Debit,2024-06-01,567,HT004,7/15/2019 15:23:23,3,"Okay hotel, not worth the price.",336,Standard,2,14,200 sq ft,None,120,City Suites,3,246 Downtown Ave.,Chicago,IL,USA,60601
tyler.young@example.com,tyler,young,passwd5,2894 Chive Parkway,Hangzhou,Zhejiang,China,200097,795-747-2573,KO2755707,7/27/2027,Poland,10/16/1959,6954,6/16/2020 15:06:00,6/18/2020 8:25:00,2/15/2020 3:25:00,345,5385941661114851,Tyler Young,Debit,2024-06-01,567,HT010,7/15/2020 12:23:23,5,"Excellent hotel, would definitely stay again.",415,Standard,6,22,290 sq ft,None,120,Lakeside Lodge,4,321 Lakeview Rd.,Denver,CO,USA,80201
tyler.young@example.com,tyler,young,passwd5,2894 Chive Parkway,Hangzhou,Zhejiang,China,200097,795-747-2573,KO2755707,7/27/2027,Poland,10/16/1959,6955,8/13/2021 15:06:00,8/18/2021 8:25:00,2/15/2021 3:25:00,175,5385941661114851,Tyler Young,Debit,2024-06-01,567,HT013,8/19/2021 15:29:23,4,"I really enjoyed my stay at this hotel. The room was clean and comfortable, and the staff were friendly and helpful.",625,Deluxe,4,21,350 sq ft,Balcony with mountain view,150,Riverwalk Hotel,3,548 Main St.,San Antonio,TX,USA,78201
tyler.young@example.com,tyler,young,passwd5,2894 Chive Parkway,Hangzhou,Zhejiang,China,200097,795-747-2573,KO2755707,7/27/2027,Poland,10/16/1959,6956,12/13/2019 15:06:00,12/18/2019 8:25:00,2/15/2019 3:25:00,728,5385941661114851,Tyler Young,Debit,2024-06-01,567,HT016,7/15/2020 12:25:56,3,"This hotel was just okay. The room was clean and comfortable enough, but the amenities were lacking.",708,Suite,3,19,275 sq ft,"Kitchenette, living room, pool view",300,Hillside Lodge,2,468 Mountain Rd.,Park City,UT,USA,84001
tyler.young@example.com,tyler,young,passwd5,2894 Chive Parkway,Hangzhou,Zhejiang,China,200097,795-747-2573,KO2755707,7/27/2027,Poland,10/16/1959,6957,4/13/2020 15:06:00,4/18/2020 8:25:00,2/15/2020 3:25:00,238,5385941661114851,Tyler Young,Debit,2024-06-01,567,HT019,4/23/2020 19:20:25,5,This hotel was fantastic! The room was beautiful and the staff were incredibly friendly and accommodating.,913,Suite,2,18,210 sq ft,"Kitchenette, living room, vineyard view",300,Valley View Motel,2,243 Canyon Rd.,Sedona,AZ,USA,86336
tyler.young@example.com,tyler,young,passwd5,2894 Chive Parkway,Hangzhou,Zhejiang,China,200097,795-747-2573,KO2755707,7/27/2027,Poland,10/16/1959,6958,7/13/2021 15:06:00,7/18/2021 8:25:00,2/15/2021 3:25:00,429,5385941661114851,Tyler Young,Debit,2024-06-01,567,HT015,08/29/2022 15:32:35,2,"This hotel was a disappointment. The room was small and dingy, and the staff were unhelpful and unprofessional.",128,Standard,5,73,280 sq ft,None,80,Green Garden Hotel,3,313 Maple Ave.,Boston,MA,USA,2101
tyler.young@example.com,tyler,young,passwd5,2894 Chive Parkway,Hangzhou,Zhejiang,China,200097,795-747-2573,KO2755707,7/27/2027,Poland,10/16/1959,6959,06/23/2023 14:00:00,06/26/2023 12:00:00,03/25/2023 15:06:25,920,5385941661114851,Tyler Young,Debit,2024-06-01,567,HT001,,,,714,Standard,2,53,200 sq ft,None,100,Grand Hotel,5,123 Main St.,New York City,NY,USA,10001
tyler.young@example.com,tyler,young,passwd5,2894 Chive Parkway,Hangzhou,Zhejiang,China,200097,795-747-2573,KO2755707,7/27/2027,Poland,10/16/1959,6960,08/19/2023 14:00:00,08/23/2023 14:00:00,02/23/2023 14:00:00,743,5385941661114851,Tyler Young,Debit,2024-06-01,567,HT008,,,,430,Deluxe,1,23,190 sq ft,"Kitchenette, living room, pool view",300,Sunset Motel,2,852 Seaside Blvd.,San Diego,CA,USA,92101
claire.baker@example.com,claire,baker,passwd6,39 Bowman Pass,Brooklyn,NY,USA,12552,522-483-6816,DG9102444,5/24/2025,China,4/4/1992,6961,3/13/2019 15:06:00,3/18/2019 8:25:00,2/15/2019 3:25:00,716,4790428298140149,Claire Baker,Credit,2022-09-01,678,HT006,5/15/2019 3:25:30,3,"This hotel was average. The room was clean and comfortable enough, but there was nothing particularly memorable about my stay.",821,Deluxe,6,42,150 sq ft,Balcony with pool view,200,Riverfront Hotel,4,372 Main St.,Portland,OR,USA,97201
claire.baker@example.com,claire,baker,passwd6,39 Bowman Pass,Brooklyn,NY,USA,12552,522-483-6816,DG9102444,5/24/2025,China,4/4/1992,6962,3/13/2020 15:06:00,3/18/2020 8:25:00,2/15/2020 3:25:00,932,4790428298140149,Claire Baker,Credit,2022-09-01,678,HT003,3/25/2020 14:52:35,5,This was one of the best hotels I've ever stayed at. The room was beautiful and the staff were incredibly friendly and helpful.,616,Suite,6,95,500 sq ft,"Kitchenette, living room, mountain view",250,Mountain Lodge,4,789 Alpine Rd.,Aspen,CO,USA,81611
claire.baker@example.com,claire,baker,passwd6,39 Bowman Pass,Brooklyn,NY,USA,12552,522-483-6816,DG9102444,5/24/2025,China,4/4/1992,6963,3/13/2021 15:06:00,3/18/2021 8:25:00,2/15/2021 3:25:00,689,4790428298140149,Claire Baker,Credit,2022-09-01,678,HT005,5/15/2021 3:25:30,2,"This hotel was terrible. The room was dirty and poorly maintained, and the staff were unhelpful and unprofessional.",205,Deluxe,1,79,240 sq ft,None,120,Beachside Inn,3,135 Sandy Ln.,Santa Barbara,CA,USA,93101
claire.baker@example.com,claire,baker,passwd6,39 Bowman Pass,Brooklyn,NY,USA,12552,522-483-6816,DG9102444,5/24/2025,China,4/4/1992,6964,5/15/2019 15:06:00,5/18/2019 8:25:00,2/15/2019 3:25:00,378,4790428298140149,Claire Baker,Credit,2022-09-01,678,HT004,7/15/2019 15:23:23,4,"I had a pleasant stay at this hotel. The room was clean and comfortable, and the staff were friendly and helpful.",521,Standard,2,14,200 sq ft,None,120,City Suites,3,246 Downtown Ave.,Chicago,IL,USA,60601
